"Cookie mix and all necessary ingredients, mixing bowl, and oven",Phone and wallet,"The first few steps for this task are given to you below. Please rate how difficult the entire task is to complete now, on a scale from 1 (easiest) to 10 (hardest). 

1. Open UberEats
2. ...","The complete plan is given to you below. Please rate how difficult the task is now, on a scale from 1 (easiest) to 10 (hardest).

1. Open UberEats
2. Find Insomnia Cookies
3. Order 100 cookies from Insomnia Cookies
4. Pick up your order",Net and Step Stool,Jacket and Laundry Machine,"The first few steps for this task are given to you below. Please rate how difficult the entire task is to complete now, on a scale from 1 (easiest) to 10 (hard). 
1. Climb onto the laundry machine.
2. …","The complete plan is given to you below. Please rate how difficult the task is to complete now, on a scale from 1 (easiest) to 10 (hardest).

1. Climb onto the laundry machine
2. Wrap the cat in the jacket",Dryer and coins,"Two poles and a long, sturdy rope","The first few steps for this task are given to you below. Please rate how difficult the entire task is to complete now, on a scale from 1 (easiest) to 10 (hard). 

1. Stick the two poles in the ground, a distance slightly shorter than the rope’s length away from each other
2. ...","The complete plan is given to you below. Please rate how difficult the task is now, on a scale from 1 (easiest) to 10 (hardest).

1. Stick the two poles in the ground, a distance slightly shorter than the rope’s length away from each other
2. Securely tie each end of the rope onto each pole
3. Hang the clothes off of the rope and leave in sun to dry ",Ladder and basket,Rake and a large cloth,"The first few steps for this task are given to you below. Please rate how difficult the entire task is to complete now, on a scale from 1 (easiest) to 10 (hard).

1. Fit the stem of the apple between the teeth of the rake
2. ...","Question 3: The complete plan is given to you below, please rate how difficult the task would be on a scale from 1 (easiest) to 10 (hardest). 
1. Fit the stem of the apple between the teeth of the rake
2. Push down the rake, using the downwards force to push the apple down to the floor
3. Make a makeshift bag with the cloth and put the apples in the bag"
9,3,1,4,3,9,1,2,4,5,3,5,3,4,4,3
7,10,3,5,5,8,8,5,5,8,6,4,3,7,8,10
6,3,2,1,3,8,5,1,3,3,2,1,2,2,1,1
7,4,3,4,6,10,8,8,3,9,9,9,3,3,3,3
4,2,1,1,5,10,1,4,1,2,1,2,3,3,2,3
1,1,1,1,3,7,5,7,3,5,5,5,4,3,3,3
7,10,2,1,2,2,3,3,1,8,8,8,2,3,4,4
8,1,4,4,3,9,5,6,3,3,3,2,6,3,2,2
4,3,3,1,3,3,3,3,1,6,6,6,3,4,3,2
1,5,4,3,3,5,4,3,3,5,3,3,4,5,6,5
6,3,1,5,5,8,5,4,1,4,4,4,3,5,4,5
4,7,7,8,2,3,3,3,2,1,1,1,3,1,1,1
6,1,1,1,4,10,7,5,1,4,3,3,5,5,4,4
3,1,4,5,6,3,1,4,7,10,6,1,1,8,7,10
3,2,1,2,5,7,4,4,2,5,6,8,3,6,7,8
6,1,1,3,3,1,1,1,1,6,3,8,8,6,2,4
3,8,2,2,6,7,6,5,2,4,2,2,2,3,3,3
2,6,5,1,3,8,5,1,2,2,2,2,4,4,3,2
5,1,1,1,5,7,3,2,2,3,2,1,3,6,3,1
5,3,1,2,4,10,7,7,5,6,4,6,4,7,5,7
4,2,2,2,7,9,5,4,1,2,2,2,2,1,1,1
8,3,1,3,6,10,4,6,4,6,6,6,3,7,5,3
8,3,2,2,3,7,6,6,1,7,7,7,3,6,5,4
1,8,2,2,3,4,3,3,1,3,3,3,1,2,2,3
8,2,4,4,4,8,8,7,2,7,9,9,4,5,7,8
2,1,1,4,1,8,3,7,1,2,3,4,2,1,5,3
8,4,1,3,2,9,3,3,2,3,2,2,2,2,2,2
7,2,2,1,4,9,5,3,2,6,6,6,3,7,8,8
1,3,1,1,1,4,2,2,1,1,1,1,1,2,1,1
4,2,3,3,3,7,6,5,2,5,5,5,4,6,6,7
1,1,9,3,3,7,4,4,1,3,3,2,1,3,2,2
8,4,2,2,8,10,1,2,2,3,3,2,3,8,2,2
3,7,1,2,4,7,3,3,3,6,6,7,2,5,6,5
5,3,4,2,6,8,8,7,3,7,7,8,5,6,6,6
8,4,1,3,2,4,2,5,1,7,5,8,4,2,3,6
9,10,2,1,4,4,4,4,1,4,4,4,1,2,2,2
5,3,1,1,6,8,7,6,3,7,6,6,3,5,6,6
8,3,2,1,3,7,2,1,1,4,3,3,5,2,2,2
2,8,3,3,3,8,5,5,2,2,2,2,2,3,2,2
3,6,3,2,7,8,8,6,1,3,2,2,2,2,2,2
4,1,2,1,3,3,8,2,2,3,2,3,10,1,1,1
1,4,2,2,3,6,6,5,1,2,2,2,3,2,6,6
2,1,1,1,2,1,1,1,1,2,2,2,4,5,3,3
4,1,1,1,2,4,2,2,2,3,3,3,2,1,2,2
2,2,10,10,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,3,8,8,4,3,5,5,5,2,6,5,4
7,1,1,5,5,9,1,5,3,6,6,6,4,3,2,3
8,2,4,8,6,9,4,8,2,9,5,3,9,6,8,5
1,7,7,7,2,4,4,4,1,4,4,4,4,4,4,4
4,3,1,1,8,10,10,10,2,3,5,3,3,4,5,1
4,1,1,1,2,9,2,2,1,4,4,4,2,2,2,2
3,1,1,2,3,6,3,2,2,6,7,6,2,5,3,3
10,4,1,7,1,7,3,8,2,4,7,7,5,9,3,4
5,1,1,1,1,1,1,1,1,3,3,3,2,1,1,1
2,3,1,1,1,1,1,1,1,2,2,2,1,3,3,3
7,4,1,3,6,8,2,4,1,7,5,8,2,5,3,4
2,10,3,2,3,5,3,2,3,3,2,2,3,5,3,3
2,1,4,4,3,8,3,2,2,4,3,3,4,3,3,3
1,1,3,2,1,2,2,2,1,2,4,6,2,6,7,7
6,2,1,3,4,4,1,6,10,5,7,6,2,8,8,8
5,1,1,2,6,9,9,10,2,4,4,4,3,7,3,4
5,6,7,3,6,8,4,4,4,4,4,4,5,6,6,6
3,2,2,2,4,7,4,3,2,3,3,2,2,3,2,2
3,8,2,2,8,8,5,4,4,4,4,4,3,3,3,3
3,6,8,1,4,10,10,6,2,6,5,3,1,5,5,5
8,2,7,3,2,9,3,2,1,5,3,2,2,2,2,2
1,4,3,3,4,9,3,4,1,4,6,5,1,5,6,5
3,1,7,1,3,7,7,7,1,6,6,6,3,2,5,5
10,1,10,5,3,8,1,1,1,5,7,10,2,2,3,6
2,9,6,1,7,9,1,5,1,1,6,8,2,3,3,3
4,4,3,3,4,3,2,3,3,2,2,2,3,3,3,3
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
